phenocode;pheno_sex;description;description_more
131406;both_sexes;Date I85 first reported (oesophageal varices);"Date of the first occurrence of any code mapped to 3-character ICD10 I85. The code corresponds to ""oesophageal varices"". Note that events which were apparently before birth were omitted when constructing this data field."
25903;both_sexes;Volume of grey matter in Crus II Cerebellum (left);Volume of grey matter in Left Crus II Cerebellum
25904;both_sexes;Volume of grey matter in Crus II Cerebellum (vermis);Volume of grey matter in Vermis Crus II Cerebellum
131408;both_sexes;Date I86 first reported (varicose veins of other sites);"Date of the first occurrence of any code mapped to 3-character ICD10 I86. The code corresponds to ""varicose veins of other sites"". Note that events which were apparently before birth were omitted when constructing this data field."
131410;both_sexes;Date I87 first reported (other disorders of veins);"Date of the first occurrence of any code mapped to 3-character ICD10 I87. The code corresponds to ""other disorders of veins"". Note that events which were apparently before birth were omitted when constructing this data field."
131412;both_sexes;Date I88 first reported (nonspecific lymphadenitis);"Date of the first occurrence of any code mapped to 3-character ICD10 I88. The code corresponds to ""nonspecific lymphadenitis"". Note that events which were apparently before birth were omitted when constructing this data field."
131414;both_sexes;Date I89 first reported (other non-infective disorders of lymphatic vessels and lymph nodes);"Date of the first occurrence of any code mapped to 3-character ICD10 I89. The code corresponds to ""other non-infective disorders of lymphatic vessels and lymph nodes"". Note that events which were apparently before birth were omitted when constructing this data field."
131416;both_sexes;Date I95 first reported (hypotension);"Date of the first occurrence of any code mapped to 3-character ICD10 I95. The code corresponds to ""hypotension"". Note that events which were apparently before birth were omitted when constructing this data field."
131418;both_sexes;"Date I97 first reported (postprocedural disorders of circulatory system, not elsewhere classified)";"Date of the first occurrence of any code mapped to 3-character ICD10 I97. The code corresponds to ""postprocedural disorders of circulatory system, not elsewhere classified"". Note that events which were apparently before birth were omitted when constructing this data field."
131420;both_sexes;Date I98 first reported (other disorders of circulatory system in diseases classified elsewhere);"Date of the first occurrence of any code mapped to 3-character ICD10 I98. The code corresponds to ""other disorders of circulatory system in diseases classified elsewhere"". Note that events which were apparently before birth were omitted when constructing this data field."
131422;both_sexes;Date I99 first reported (other and unspecified disorders of circulatory system);"Date of the first occurrence of any code mapped to 3-character ICD10 I99. The code corresponds to ""other and unspecified disorders of circulatory system"". Note that events which were apparently before birth were omitted when constructing this data field."
131424;both_sexes;Date J00 first reported (acute nasopharyngitis [common cold]);"Date of the first occurrence of any code mapped to 3-character ICD10 J00. The code corresponds to ""acute nasopharyngitis [common cold]"". Note that events which were apparently before birth were omitted when constructing this data field."
131426;both_sexes;Date J01 first reported (acute sinusitis);"Date of the first occurrence of any code mapped to 3-character ICD10 J01. The code corresponds to ""acute sinusitis"". Note that events which were apparently before birth were omitted when constructing this data field."
131428;both_sexes;Date J02 first reported (acute pharyngitis);"Date of the first occurrence of any code mapped to 3-character ICD10 J02. The code corresponds to ""acute pharyngitis"". Note that events which were apparently before birth were omitted when constructing this data field."
131430;both_sexes;Date J03 first reported (acute tonsillitis);"Date of the first occurrence of any code mapped to 3-character ICD10 J03. The code corresponds to ""acute tonsillitis"". Note that events which were apparently before birth were omitted when constructing this data field."
